Feedback_ID,Parent_Feedback,Sentiment_Label,Submission_Date,School_ID
1,I appreciate the regular updates on my child’s progress.,Positive,2025-01-24,1005
2,The administration is slow to respond to parent concerns.,Negative,2025-04-05,1001
3,The school library has a great selection of books.,Positive,2025-03-17,1004
4,The school environment is welcoming and inclusive.,Positive,2025-01-08,1004
5,The school’s holiday events are fun for the whole family.,Positive,2025-01-22,1005
6,The staff is always friendly and helpful.,Positive,2025-01-29,1001
7,The teachers are very supportive and my child loves going to school.,Positive,2025-01-10,1004
8,There is too much emphasis on standardized testing.,Negative,2025-06-14,1005
9,The cafeteria food quality needs improvement.,Negative,2025-06-02,1003
10,I feel that parent involvement is not encouraged enough.,Negative,2025-06-16,1001
11,The teachers make learning fun and interactive.,Positive,2025-04-10,1005
12,The school does not offer enough field trips or outdoor activities.,Negative,2025-01-20,1002
13,The teachers make learning fun and interactive.,Positive,2025-02-27,1001
14,The teachers make learning fun and interactive.,Positive,2025-05-19,1005
15,My child feels anxious about going to school due to peer pressure.,Negative,2025-05-31,1003
16,The school does not offer enough field trips or outdoor activities.,Negative,2025-02-16,1002
17,The staff is always friendly and helpful.,Positive,2025-05-18,1002
18,The cafeteria food quality needs improvement.,Negative,2025-04-03,1001
19,The teachers are very supportive and my child loves going to school.,Positive,2025-04-05,1002
20,I appreciate the school’s focus on mental health and well-being.,Positive,2025-03-16,1001
21,I feel that parent involvement is not encouraged enough.,Negative,2025-02-14,1001
22,The school library has a great selection of books.,Positive,2025-06-10,1002
23,I feel that parent involvement is not encouraged enough.,Negative,2025-03-20,1002
24,The playground equipment needs to be repaired.,Negative,2025-03-17,1004
25,The school bus is often late and unreliable.,Negative,2025-06-05,1001
26,The school grounds are clean and well-kept.,Positive,2025-05-24,1005
27,The parent-teacher meetings are too short and rushed.,Negative,2025-01-09,1003
28,I feel that parent involvement is not encouraged enough.,Negative,2025-01-03,1002
29,The cafeteria food quality needs improvement.,Negative,2025-04-07,1002
30,The school’s open house was informative and well-organized.,Positive,2025-04-14,1001
31,The school’s anti-bullying policy is effective and well-implemented.,Positive,2025-06-19,1005
32,The school’s open house was informative and well-organized.,Positive,2025-01-31,1002
33,The after-school programs are excellent and very engaging.,Positive,2025-01-23,1003
34,The school’s anti-bullying policy is effective and well-implemented.,Positive,2025-04-29,1002
35,There is a lack of communication between teachers and parents.,Negative,2025-01-29,1005
36,The school does not address bullying issues effectively.,Negative,2025-05-09,1003
37,The after-school programs are excellent and very engaging.,Positive,2025-06-10,1005
38,The parent-teacher meetings are too short and rushed.,Negative,2025-06-22,1005
39,The teachers are very supportive and my child loves going to school.,Positive,2025-06-19,1001
40,My child feels safe and enjoys the extracurricular activities.,Positive,2025-04-18,1003
41,"Some classrooms are overcrowded, making it hard for students to focus.",Negative,2025-01-30,1002
42,Communication about school events is poor and confusing.,Negative,2025-05-07,1001
43,The art and music programs are outstanding.,Positive,2025-02-24,1002
44,My child feels safe and enjoys the extracurricular activities.,Positive,2025-02-16,1002
45,The school’s anti-bullying policy is effective and well-implemented.,Positive,2025-01-02,1003
46,The teachers make learning fun and interactive.,Positive,2025-04-14,1005
47,My child feels anxious about going to school due to peer pressure.,Negative,2025-03-06,1004
48,The school grounds are clean and well-kept.,Positive,2025-01-08,1003
49,The sports facilities are not well maintained.,Negative,2025-06-12,1003
50,The pick-up and drop-off process is chaotic and unsafe.,Negative,2025-05-20,1001
51,Teachers encourage students to ask questions and be curious.,Positive,2025-01-30,1005
52,My child feels safe and enjoys the extracurricular activities.,Positive,2025-02-24,1002
53,I appreciate the regular updates on my child’s progress.,Positive,2025-03-10,1002
54,The art and music programs are outstanding.,Positive,2025-02-25,1001
55,The school’s holiday events are fun for the whole family.,Positive,2025-06-07,1005
56,The teachers are very supportive and my child loves going to school.,Positive,2025-06-28,1005
57,The playground equipment needs to be repaired.,Negative,2025-02-14,1005
58,The pick-up and drop-off process is chaotic and unsafe.,Negative,2025-02-23,1002
59,The annual school play was a wonderful experience for my child.,Positive,2025-02-02,1003
60,I feel that parent involvement is not encouraged enough.,Negative,2025-04-04,1001
61,The school grounds are clean and well-kept.,Positive,2025-06-12,1004
62,There are not enough resources for special needs students.,Negative,2025-04-01,1002
63,There are not enough resources for special needs students.,Negative,2025-02-15,1003
64,I am dissatisfied with the way discipline issues are handled.,Negative,2025-02-10,1002
65,My child’s reading skills have improved a lot this year.,Positive,2025-03-15,1004
66,The school’s holiday events are fun for the whole family.,Positive,2025-05-08,1005
67,The principal is approachable and listens to parents’ concerns.,Positive,2025-05-23,1001
68,The school bus is often late and unreliable.,Negative,2025-06-03,1004
69,The science labs are well-equipped and my child loves experiments.,Positive,2025-01-21,1002
70,Teachers respond quickly to my concerns and emails.,Positive,2025-01-16,1002
71,The administration is slow to respond to parent concerns.,Negative,2025-04-23,1005
72,My child feels anxious about going to school due to peer pressure.,Negative,2025-02-05,1003
73,There is a lack of communication between teachers and parents.,Negative,2025-01-03,1002
74,My child’s teacher seems overwhelmed and does not give enough attention.,Negative,2025-02-19,1003
75,There is a lack of communication between teachers and parents.,Negative,2025-06-02,1003
76,My child feels safe and enjoys the extracurricular activities.,Positive,2025-01-16,1005
77,My child’s classroom is too noisy and distracting.,Negative,2025-01-18,1001
78,There is too much emphasis on standardized testing.,Negative,2025-04-10,1005
79,My child feels safe and enjoys the extracurricular activities.,Positive,2025-02-23,1002
80,The after-school programs are excellent and very engaging.,Positive,2025-03-21,1004
81,Communication about school events is poor and confusing.,Negative,2025-05-10,1002
82,The school does not provide enough support for students who are struggling academically.,Negative,2025-06-11,1004
83,My child’s reading skills have improved a lot this year.,Positive,2025-01-23,1005
84,There is a lack of communication between teachers and parents.,Negative,2025-06-25,1002
85,The sports facilities are not well maintained.,Negative,2025-06-25,1005
86,There is a lack of diversity in the teaching staff.,Negative,2025-05-25,1001
87,Communication about school events is poor and confusing.,Negative,2025-06-03,1001
88,I appreciate the regular updates on my child’s progress.,Positive,2025-04-13,1003
89,The school website is difficult to navigate and find information.,Negative,2025-05-21,1005
90,The school grounds are clean and well-kept.,Positive,2025-05-09,1005
91,There is too much emphasis on standardized testing.,Negative,2025-06-11,1003
92,I appreciate the regular updates on my child’s progress.,Positive,2025-03-26,1005
93,The sports facilities are excellent.,Positive,2025-01-04,1003
94,Teachers respond quickly to my concerns and emails.,Positive,2025-05-10,1001
95,The school does not provide enough support for students who are struggling academically.,Negative,2025-06-18,1001
96,The school does not offer enough field trips or outdoor activities.,Negative,2025-02-01,1001
97,The school library has a great selection of books.,Positive,2025-04-09,1004
98,The science labs are well-equipped and my child loves experiments.,Positive,2025-05-29,1001
99,The annual school play was a wonderful experience for my child.,Positive,2025-06-30,1004
100,My child feels anxious about going to school due to peer pressure.,Negative,2025-04-27,1003
101,The school’s holiday events are fun for the whole family.,Positive,2025-05-24,1004
102,The school grounds are clean and well-kept.,Positive,2025-05-22,1002
103,The administration is slow to respond to parent concerns.,Negative,2025-06-15,1005
104,The homework load is overwhelming for my child.,Negative,2025-03-07,1003
105,My child has made many friends and enjoys group activities.,Positive,2025-01-31,1001
106,My child feels left out because of language barriers.,Negative,2025-05-14,1004
107,Teachers encourage students to ask questions and be curious.,Positive,2025-05-01,1001
108,There is too much emphasis on standardized testing.,Negative,2025-02-22,1002
109,The school nurse is attentive and caring.,Positive,2025-04-06,1004
110,The science labs are well-equipped and my child loves experiments.,Positive,2025-06-18,1004
111,The administration is slow to respond to parent concerns.,Negative,2025-03-18,1005
112,The school nurse is attentive and caring.,Positive,2025-05-29,1002
113,The sports facilities are not well maintained.,Negative,2025-02-27,1002
114,The school does not offer enough field trips or outdoor activities.,Negative,2025-04-22,1001
115,There is too much emphasis on standardized testing.,Negative,2025-06-13,1005
116,The sports facilities are not well maintained.,Negative,2025-03-26,1004
117,My child’s classroom is too noisy and distracting.,Negative,2025-05-16,1002
118,The school’s holiday events are fun for the whole family.,Positive,2025-02-21,1003
119,My child feels left out because of language barriers.,Negative,2025-04-27,1003
120,I feel that parent involvement is not encouraged enough.,Negative,2025-01-03,1004
121,The homework load is overwhelming for my child.,Negative,2025-06-14,1004
122,The school environment is welcoming and inclusive.,Positive,2025-01-08,1004
123,My child feels left out because of language barriers.,Negative,2025-06-26,1004
124,The art and music programs are outstanding.,Positive,2025-03-10,1003
125,The homework load is overwhelming for my child.,Negative,2025-06-05,1005
126,My child feels safe and enjoys the extracurricular activities.,Positive,2025-06-07,1004
127,My child’s classroom is too noisy and distracting.,Negative,2025-06-25,1005
128,The teachers are very supportive and my child loves going to school.,Positive,2025-05-22,1003
129,The school’s holiday events are fun for the whole family.,Positive,2025-05-29,1004
130,The art and music programs are outstanding.,Positive,2025-02-09,1002
131,Communication about school events is poor and confusing.,Negative,2025-06-12,1005
132,The school does not provide enough support for students who are struggling academically.,Negative,2025-06-20,1001
133,The school does not address bullying issues effectively.,Negative,2025-04-29,1003
134,My child struggles with the math curriculum and needs more support.,Negative,2025-03-01,1001
135,The school’s holiday events are fun for the whole family.,Positive,2025-03-27,1003
136,My child feels anxious about going to school due to peer pressure.,Negative,2025-06-16,1001
137,My child struggles with the math curriculum and needs more support.,Negative,2025-05-04,1003
138,The teachers are very supportive and my child loves going to school.,Positive,2025-03-04,1002
139,My child’s classroom is too noisy and distracting.,Negative,2025-05-01,1004
140,The art and music programs are outstanding.,Positive,2025-03-31,1001
141,The school celebrates student achievements regularly.,Positive,2025-04-15,1005
142,The cafeteria food quality needs improvement.,Negative,2025-05-14,1003
143,The school grounds are clean and well-kept.,Positive,2025-05-01,1002
144,My child has made many friends and enjoys group activities.,Positive,2025-03-16,1005
145,My child’s reading skills have improved a lot this year.,Positive,2025-02-06,1003
146,The school does not offer enough field trips or outdoor activities.,Negative,2025-01-10,1004
147,My child has made many friends and enjoys group activities.,Positive,2025-04-24,1002
148,The sports facilities are not well maintained.,Negative,2025-01-18,1001
149,"Some classrooms are overcrowded, making it hard for students to focus.",Negative,2025-02-19,1005
150,The school does not provide enough support for students who are struggling academically.,Negative,2025-05-05,1002
151,The staff is always friendly and helpful.,Positive,2025-05-29,1004
152,The staff is always friendly and helpful.,Positive,2025-01-08,1001
153,The school does not provide enough support for students who are struggling academically.,Negative,2025-02-12,1002
154,Teachers encourage students to ask questions and be curious.,Positive,2025-03-27,1002
155,There is a lack of diversity in the teaching staff.,Negative,2025-04-24,1001
156,The school celebrates student achievements regularly.,Positive,2025-02-01,1001
157,I feel that parent involvement is not encouraged enough.,Negative,2025-02-14,1003
158,The sports facilities are not well maintained.,Negative,2025-03-05,1003
159,The school library has a great selection of books.,Positive,2025-02-11,1001
160,My child’s classroom is too noisy and distracting.,Negative,2025-01-21,1001
161,The school bus is often late and unreliable.,Negative,2025-02-03,1003
162,My child’s classroom is too noisy and distracting.,Negative,2025-02-25,1001
163,The sports facilities are not well maintained.,Negative,2025-04-15,1005
164,The principal is approachable and listens to parents’ concerns.,Positive,2025-03-05,1003
